grupa;nazwa;cena;waluta
AMD-B;AMD-B-0002/RN 53;263;EUR
AMD-B;AMD-B-0004/RN 53;280;EUR
AMD-B;AMD-B-0006/RN 53;366;EUR
AMD-B;AMD-B-0008/RN 53;432;EUR
AMD-B;AMD-B-0013/RN 53;593;EUR
AMD-B;AMD-B-0018/RN 53;686;EUR
AMD-B;AMD-B-0024/RN 53;837;EUR
AMD-B;AMD-B-0032/RN 53;1 003;EUR
AMD-B;AMD-B-0038/RN 53;1 269;EUR
AMD-B;AMD-B-0045/RN 53;1 368;EUR
AMD-B;AMD-B-0060/RN 53;1 866;EUR
AMD-B;AMD-B-0075/RN 53;2 336;EUR
AMD-B;AMD-B-0090/RN 53;2 816;EUR
AMD-B;AMD-B-0005/RN21;224;EUR
AMD-B;AMD-B-0007/RN21;259;EUR
AMD-B;AMD-B-0011/RN21;330;EUR
