grupa;nazwa;cena;waluta
AMD-C 2000;0003/RN53A;360;EUR
AMD-C 2000;0004/RN53A;385;EUR
AMD-C 2000;0006/RN53A;420;EUR
AMD-C 2000;0009/RN53A;536;EUR
AMD-C 2000;0011/RN53A;557;EUR
AMD-C 2000;0017/RN53A;621;EUR
AMD-C 2000;0023/RN53A;722;EUR
AMD-C 2000;0030/RN53A;898;EUR
AMD-C 2000;0036/RN53A;1110;EUR
AMD-C 2000;0043/RN53A;1253;EUR
AMD-C 2000;0057/RN53A;1566;EUR
AMD-C 2000;0069/RN53A;1695;EUR
AMD-C 2000;0086/RN53A;1981;EUR
AMD-C 2000;0105/RN53A;2295;EUR
AMD-C 2000;0143/RN53A;3140;EUR
AMD-C 2000;0171/RN53A;4294;EUR
AMD-C 2000;0209/RN53A;4830;EUR
AMD-C 2000;0247/RN53A;6057;EUR
AMD-C 2000;0295/RN53A;6957;EUR
AMD-C 2000;0352/RN53A;9460;EUR
AMD-C 2000;0437/RN53A;9984;EUR
AMD-C 2000;0523/RN53A;13509;EUR
AMD-C 2000;0585/RN53A;14177;EUR
AMD-C 2000;0649/RN53A;16510;EUR
